@relation chwilowki

@attribute status_pozyczki {splacona_cz,splacona,odmowa,windykacja,windykacja_sp} 
@attribute rodzaj_zr_dochodu {13,12,11,17,98,99,16,15}
@attribute miesieczny_dochod_netto real
@attribute ktore_rolowanie {1,0,2,3,4,5,6} 
@attribute kwota_kredytu real
@attribute wiek numeric
@attribute plec {k,m}
@attribute okres_pobieral_dochod numeric
@attribute okres_bedzie_pobieral_dochod numeric
@attribute opoznienie_splaty numeric

@data
splacona_cz,16,634.64,1,300,57,k,133,48,0
splacona_cz,13,1014,0,300,63,k,180,48,7
splacona_cz,11,1493.98,1,200,47,k,358,48,0
splacona_cz,12,1032,2,300,46,k,35,40,3
windykacja,17,646,0,380.59,40,k,51,48,981
splacona,11,2100,1,820.86,42,m,281,48,334
windykacja_sp,13,782,0,356.29,57,k,189,48,209
splacona_cz,13,580,2,800,56,k,116,48,2
splacona_cz,12,599.03,1,200,37,k,16,18,5
odmowa,13,634.64,0,400,62,k,254,48,0
odmowa,13,889.38,0,400,65,m,5,48,0
odmowa,12,5000,0,700,42,m,3,6,0
splacona,13,1000,1,300,70,k,61,48,0
odmowa,13,720.08,0,450,76,k,239,48,0
splacona_cz,13,3440,2,800,55,k,48,48,6
odmowa,11,718.57,0,200,41,k,78,48,0
splacona,11,800.51,1,400,38,k,17,48,13
odmowa,11,1133.37,0,200,53,k,389,48,0
odmowa,12,1520.01,0,500,38,k,26,48,0
splacona,11,2200,2,499.98,35,m,82,48,18
splacona,11,2500,1,600,49,k,230,48,0
splacona_cz,12,1300,2,600,29,m,24,41,6
splacona_cz,17,798.8,2,300,54,m,146,48,6
odmowa,12,1038,0,500,50,m,30,47,0
odmowa,16,799.4,0,300,59,k,126,48,0
splacona,16,1473.04,1,400,65,m,162,48,3
odmowa,12,670.8,0,300,50,m,3,8,0
splacona,11,1250,2,500,61,m,62,48,14
splacona,13,750,0,300,62,k,28,48,0
splacona_cz,13,2110,2,300,66,m,98,48,0
windykacja_sp,13,930,1,400,59,k,29,48,436
windykacja_sp,12,1000,2,231.22,52,m,9,39,437
splacona_cz,13,1658,2,300,59,k,26,48,1
splacona_cz,16,749.28,2,200,53,k,62,48,2
splacona_cz,13,1016,0,250,70,k,186,48,0
splacona_cz,11,3200,2,600,51,k,51,48,1
splacona_cz,11,3100,2,500,32,k,118,48,0
splacona_cz,11,2700,2,400,37,k,118,48,0
splacona_cz,11,2947,2,393.99,59,m,50,48,3
odmowa,12,1027.22,0,300,24,m,1,3,0
splacona,11,2100,2,300,33,m,61,48,9
splacona_cz,16,980,2,400,68,k,128,48,1
